2020-01-11 11:33:41.076 [main] INFO  c.k.hapmonitor.mobile.HapMonitorMobileApplication - Starting HapMonitorMobileApplication on LAPTOP-MARCO with PID 32772 (D:\Repertory\Git\hap-monitor\sources\server\hap-monitor\hap-monitor-mobile\target\classes started by Marco in D:\Repertory\Git\hap-monitor\sources\server\hap-monitor)
2020-01-11 11:33:41.079 [main] INFO  c.k.hapmonitor.mobile.HapMonitorMobileApplication - The following profiles are active: dev
2020-01-11 11:33:41.953 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-11 11:33:41.981 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 repository interfaces.
2020-01-11 11:33:42.022 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-11 11:33:42.025 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3ms. Found 0 repository interfaces.
2020-01-11 11:33:42.648 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$309d99ef] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-11 11:33:43.147 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 7511 (http)
2020-01-11 11:33:43.163 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7511"]
2020-01-11 11:33:43.173 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-11 11:33:43.173 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2020-01-11 11:33:43.438 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-11 11:33:43.439 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2243 ms
2020-01-11 11:33:43.854 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
2020-01-11 11:33:43.856 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2020-01-11 11:33:44.016 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2020-01-11 11:33:44.217 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-01-11 11:33:44.219 [main] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2020-01-11 11:33:44.398 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-01-11 11:33:44.419 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
2020-01-11 11:33:44.917 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-01-11 11:33:45.008 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-01-11 11:33:45.508 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-01-11 11:33:45.607 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7511"]
2020-01-11 11:33:45.639 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 7511 (http) with context path ''
2020-01-11 11:33:45.643 [main] INFO  c.k.hapmonitor.mobile.HapMonitorMobileApplication - Started HapMonitorMobileApplication in 6.057 seconds (JVM running for 8.998)
2020-01-11 11:33:54.806 [Thread-13] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2020-01-11 11:33:54.809 [Thread-13] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-01-11 11:33:54.816 [Thread-13] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
